"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-03","0.08","49","55",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-04",,"55","68","41"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-05",,"53","65","43"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-06",,"59","73","44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-07","0.43","57","69",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-08",,"51","66",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-09",,"53","57","45"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-10",,"54","69",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-11",,"57","67","42"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-12",,"58","67","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-13","0.04","59","71",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-14",,"53","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-15",,"60","74","47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-16",,"59","69","50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-17","1.18","49","58",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-18","0.08","52","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-19",,"55","67","44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-20",,"58","70","50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-21","0.67","57","62","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-22","0.00","54","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-23",,"56","68","46"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-24",,"61","75","47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-25",,"64","78","50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-26",,"71","85","54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-27",,"61","69",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-28",,"63","73",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-29","0.01","61","73","52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-04-30",,"61","69","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-01",,"68","79","54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-02",,"70","83","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-03","1.61","53","64",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-04",,"60","69","50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-05",,"69","80","50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-06","0.67","58","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-07",,"62","73","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-08",,"69","80","53"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-09",,"68","78",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-10","0.55","56","65",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-11",,"62","74","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-12",,"64","75","54"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-13","0.02","67","78","55"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-14",,"69","80","59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-15",,"61","76",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-16","0.39","61","71","51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-17",,"68","80","52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-18",,"73","85","56"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-19",,"76","89","61"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-20",,"75","89","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-21",,"75","87",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-22",,"77","89","64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-23",,"73","85",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-24","1.54","62","71",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-25",,"68","76","60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-26",,"66","73",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-27",,"71","81","59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-28",,"71","82","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-29",,"71","82",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-30",,"72","84","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-05-31",,"71","82","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-01",,"74","86","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-02",,"74","84","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-03",,"72","82","64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-04",,"70","79",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-05",,"78","90","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-06",,"73","83",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-07","0.00","71","79",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-08",,"71","82",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-09",,"76","88","64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-10",,"76","88","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-11",,"75","80","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-12","0.12","73","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-13",,"75","85","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-14",,"76","85","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-15","0.63","68","76","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-16","0.00","70","77","65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-17",,"76","84","65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-18",,"76","86","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-19","0.00","75","85",
