Year,Date,Season,Class,NDVI,NDWI,NDBI,VV,VH,VH_VV_Ratio,LST,LST_Difference,Valid_S2_Pixel_Count,Valid_LST_Pixel_Count
2018,2018-10-20,Fall,Nature,0.613845577825419,-0.6132995578600057,-0.1833875155668357,-9.875781570461733,-15.629151486387835,-5.753369915926102,15.283254381462337,-0.6860497043984299,8595,7482
2018,2018-10-20,Fall,Roads,0.1680813865708555,-0.2148471863768905,0.021458845678433,-7.627014621716637,-14.381677697017809,-6.754663075301171,16.78056631656463,0.8112622307038642,17189,13854
2018,2018-10-20,Fall,Urban,0.3320857865174915,-0.362953931638975,-0.0684210435660172,-7.127243960007304,-13.373494083046886,-6.246250123039582,16.156205056307677,0.18690097044691,11449,10527
2018,2018-10-20,Fall,Water,-0.4648446071972854,0.6753487492330252,-0.0107857919348623,-19.61803639193996,-24.131053314387334,-4.513016922447374,12.138661626927194,-3.830642458933573,2699,2800
2018,2018-10-30,Fall,Dense Urban,0.1836157176210195,-0.1602980047912579,0.105332229643946,-3.1233525449755533,-10.621403936605176,-7.498051391629623,16.279824707259174,-0.0022796382153345,7642,9558
2018,2018-10-30,Fall,Nature,0.5583855958298466,-0.5818315567619872,-0.1427608013294751,-9.627272929537826,-15.123635655118711,-5.496362725580886,16.16082318022292,-0.1212811652515881,8595,10838
2018,2018-10-30,Fall,Roads,0.1600877176118787,-0.2071531290568991,0.0273162721094536,-7.369884583950796,-13.869561466121148,-6.499676882170352,17.030330413833443,0.7482260683589352,17189,21359
2018,2018-10-30,Fall,Urban,0.2771130213167585,-0.332249008605354,-0.0429971193348374,-6.872467810553211,-12.873672032652758,-6.001204222099547,15.782834790902108,-0.4992695545724004,11449,14340
2018,2018-10-30,Fall,Water,-0.5976087306006315,0.7622219063334333,-0.2931619082913412,-16.928544437833732,-23.62255636074797,-6.694011922914239,13.351629601404134,-2.9304747440703736,2699,3387
2018,2018-12-14,Winter,Dense Urban,0.111289041236315,-0.1131516387015809,0.0035920207771257,-3.1161124825483406,-10.37973365893841,-7.263621176390069,7.641725497288158,-0.0153980312502248,7642,3923
2018,2018-12-14,Winter,Nature,0.2770725611153875,-0.4023232342699925,-0.0274545765647293,-10.619271118060784,-16.376874726134172,-5.757603608073389,7.718116377043724,0.0609928485053412,8595,8866
2018,2018-12-14,Winter,Roads,0.0976703482118659,-0.1522236268244265,0.0037380321107214,-7.873682831127578,-14.75555264561739,-6.8818698144898125,7.968356280899387,0.3112327523610041,17189,13226
2018,2018-12-14,Winter,Urban,0.1445029076241535,-0.1913494145700651,-0.0666103267654227,-7.12829947693092,-13.375472169205716,-6.2471726922747965,7.216829260520943,-0.44029426801744,11449,6295
2018,2018-12-14,Winter,Water,-0.4898892417516351,0.730481635618783,-0.0357840990074337,-19.874624747842088,-24.61427570968529,-4.7396509618432034,4.0472835260000295,-3.6098400025383537,2699,786
2018,2018-12-19,Winter,Dense Urban,0.1191712322847396,-0.1210496502533135,0.1112948501954154,-3.1161124825483406,-10.37973365893841,-7.263621176390069,7.641725497288158,-0.0153980312502248,7642,3923
2018,2018-12-19,Winter,Nature,0.3085426669200008,-0.4337364434886939,0.0742845818675351,-10.619271118060784,-16.376874726134172,-5.757603608073389,7.718116377043724,0.0609928485053412,8595,8866
2018,2018-12-19,Winter,Roads,0.1132733028401791,-0.1755982698732978,0.0741025024812401,-7.873682831127578,-14.75555264561739,-6.8818698144898125,7.968356280899387,0.3112327523610041,17189,13226
2018,2018-12-19,Winter,Urban,0.1601884109312218,-0.222619572629059,0.0507331456514811,-7.12829947693092,-13.375472169205716,-6.2471726922747965,7.216829260520943,-0.44029426801744,11449,6295
2018,2018-12-19,Winter,Water,-0.302689089078389,0.5586711368410318,0.026635515460671,-19.874624747842088,-24.61427570968529,-4.7396509618432034,4.0472835260000295,-3.6098400025383537,2699,786
2019,2019-01-23,Winter,Dense Urban,0.0840537790750329,-0.0839746901394008,0.0722103209138927,-3.622442795907163,-10.878467801089114,-7.256025005181951,3.7648902494827783,-0.21988718505263,7250,5964
2019,2019-01-23,Winter,Nature,0.2144771790076995,-0.3241387767341334,0.0761036875558182,-11.37377860769749,-17.12162669502586,-5.74784808732837,4.141452996346157,0.156675561810748,10692,12261
2019,2019-01-23,Winter,Roads,0.0879744034616397,-0.1387399399363706,0.0605648710962173,-8.38052292312678,-14.883192273281807,-6.502669350155028,4.328303584882758,0.3435261503473494,16482,15427
2019,2019-01-23,Winter,Urban,0.1153596619623103,-0.1446527144542631,0.0213770335508676,-6.121579992482345,-12.360466061744576,-6.238886069262231,3.637662676434523,-0.347114758100886,10353,7452
2019,2019-01-23,Winter,Water,-0.3613019519993761,0.4511142511800788,-0.3612085867548442,-18.81659587145112,-24.36134721857433,-5.54475134712321,2.359281017318684,-1.6254964172167248,2797,2135
2019,2019-02-07,Winter,Dense Urban,0.1602590366115457,-0.191513576823123,0.1053216986418487,-3.3779477967572027,-10.883771225738313,-7.50582342898111,6.406484708354985,0.1874657866587821,7250,9114
2019,2019-02-07,Winter,Nature,0.2695172204042457,-0.4338521492199952,0.0507883210847878,-11.370272340441256,-17.125617520559125,-5.755345180117869,6.530797271106143,0.3117783494099395,10692,13532
2019,2019-02-07,Winter,Roads,0.1287818665547855,-0.2145351760814726,0.0410006512040937,-8.123871225563658,-15.132960931021804,-7.0090897054581465,6.466598077846776,0.2475791561505724,16482,20829
2019,2019-02-07,Winter,Urban,0.1915105561300877,-0.2772104958084307,0.0271805282815849,-6.1179630835736,-12.37149312928126,-6.25353004570766,5.718358235243321,-0.500660686452882,10353,13071
2019,2019-02-07,Winter,Water,-0.5045525837351755,0.6835956842655073,0.0876667814183652,-19.878300450604502,-24.369871518707573,-4.49157106810307,2.86008069693787,-3.358938224758333,2797,3566
2019,2019-02-17,Winter,Dense Urban,0.1367594768313709,-0.1366750850785455,0.1131697652640104,-3.378994556529979,-10.612592601032183,-7.233598044502204,8.717513182824103,0.2489003761111501,7250,9120
2019,2019-02-17,Winter,Nature,0.2383779195782317,-0.3789468305310394,0.0662785410558902,-10.86237263978832,-16.87362912168145,-6.011256481893129,8.593050069177913,0.1244372624649603,10692,13533
2019,2019-02-17,Winter,Roads,0.1133306717627572,-0.1679022508619039,0.0663955779043528,-7.870572599302683,-14.62385624006182,-6.753283640759136,8.907880821180708,0.4392680144677552,16482,20828
2019,2019-02-17,Winter,Urban,0.1602361126829918,-0.1994007925831837,0.0431499175688151,-6.130859988602755,-12.368556139213208,-6.237696150610453,7.9700810293936195,-0.4985317773193332,10353,13071
